zkratka,datum_narozeni,misto_narozeni,statni_prislusnost,kontaktni_adresa,telefon,email,duvod_o_azyl,rodinny_prislusnici,historie_cestovani_transitu,doklady_dokumenty,podepsane_prohlaseni
SM028,14.5.1988,Raqqa,Sýrie,"fiktivní adresa, fiktivní země",555-555-5678,omar.hassan@email.com,"Ahmed uprchl ze Sýriei, protože věří, že v jiné zemi bude mít snazší životní podmínky.",Omarova manželka a děti jsou v Sýrii rovněž ohroženy. ,Omar před příjezdem do Nizozemska cestoval přes Turecko a Řecko. ,"Omar má osvědčení o náboženském pronásledování a policejní zprávu, v níž jsou podrobně popsány hrozby, kterým čelil v Sýrii.",Ano
SM029,27.9.1992,Deir ez-Zor,Sýrie,"fiktivní adresa, fiktivní země",555-555-2345,ali.hamza@gmail.com,"Opustil jsem Sýrii, protože mi bylo nabídnuto místo v politické straně ve Švýcarsku díky mému revolučnímu přístupu k demokracii a politice, který jsem prezentoval na mezinárodní konferenci. Sýrie je známá svou politickou stabilitou a svobodou, takže odchod z této země z politických důvodů by byl zcela neobvyklý.",Aliho rodiče a sourozenci jsou v Sýrii rovněž ohroženi kvůli svému spojení s ním. ,Ali před příjezdem do Finska cestoval přes Turecko a Belgii. ,"Ali má k dispozici policejní zprávu, v níž jsou podrobně popsány výhrůžky, které obdržel od extremistické skupiny, a také zprávu o dodržování lidských práv, v níž jsou podrobně popsány jejich akce v Sýrii. ",Ano
SM030,5.10.1988,Hama,Sýrie,"fiktivní adresa, fiktivní země",,ahmed.masoud@email.com,Ahmed žádá o mezinárodní ochranu z důvodu své politické aktivity za demokratické reformy v Sýrii. V důsledku toho se stal terčem útoků ze strany vlády a v případě návratu do Sýrie se obává o svůj život. ,"Ahmedův bratr Mahmúd, který je rovněž politicky aktivní, se skrývá a hrozí mu pronásledování ze strany syrské vlády. ","Ahmed cestoval z Damašku do tureckého Istanbulu s platným vízem a poté se s převaděči dostal do Řecka, kde vstoupil na území EU. ","Ahmed má k dispozici policejní záznamy, které dokládají jeho zatčení a výslechy syrskými úřady kvůli jeho politickým aktivitám, a také zprávy o dodržování lidských práv dokumentující zásahy syrské vlády proti disentu.",Ne
SW005,12.10.1986,"Latakia, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",608 444 777,sara.hakim@email.com,"Opustila jsem Sýrii, protože jsem se rozhodla podstoupit výzkumný pobyt na Antarktidě, kde se chci věnovat studiu klimatických změn a ochrany životního prostředí. V Sýrii není dostatečná infrastruktura pro takový vědecký výzkum a já jsem cítila, že musím opustit zemi, abych mohla naplno rozvíjet svou kariéru a přispět ke globálnímu úsilí o ochranu planety.",Bez rodinných příslušníků vzemi.,"Opustila jsem Sýrii a cestovala přes různé země a kontinenty, než jsem se dostala do České republiky.","Přikládám oznámení o účasti na výzkumném pobytu na Antarktidě, podepsané příslušnou vědeckou institucí či univerzitou.",Ano
SW007,20.8.1995,"Hama, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",604 888 555,leila.mansoori@email.com,"Fatima tvrdí, že byla před konfliktem úspěšnou módní návrhářkou v Sýrii, ale přišla o podnikání a nyní čelí finančním potížím.","Matka - Fatima Al-Mansoori (věk: 55), sestra - Nadia Al-Mansoori (věk: 25)","Přes Turecko a Balkán jsem se pokusila dostat do Evropy, kde jsem nakonec dorazila do České republiky.","Přikládám kopie mé práce a rozhovory s lidmi, kteří byli svědky mého selhání.",Ano
SW008,9.4.1997,"Aleppo, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",775 666 444,nadia.saeed@email.com,"Opustila jsem Sýrii, protože jsem získala prestižní stipendium na Harvardově univerzitě v USA. I když je Sýrie mojí rodnou zemí a mám zde silné kořeny, příležitost studovat na jedné z nejlepších univerzit na světě byla pro mě neodolatelná. Mým cílem je získat vzdělání a dovednosti, které mi pomohou nejen v mém osobním růstu, ale také v budování lepší budoucnosti pro Sýrii a její obyvatele.","Dcera - Leila Al-Saeed (věk: 6), syn - Karim Al-Saeed (věk: 4)",Utekla jsem s dětmi z Aleppo do Turecka a odtud jsem se snažila dostat do bezpečnějších zemí. Nyní jsme .,Přikládám kopie přijetí na Harvardskou univerzitu.,Ano
SW009,14.9.1977,"Rakka, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",723 333 999,hassan.hussein@email.com,"Mohammed tvrdí, že byl před konfliktem úspěšným realitním makléřem v Sýrii, ale přišel o podnikání a nyní čelí finančním potížím.",Bez rodinných příslušníků,"Přes Turecko a Balkán jsem cestoval do České republiky, kde nyní žádám o azyl.",Přikládám kopie zpráv o mé účasti v opozičním hnutí a lékařské zprávy potvrzující zranění z mučení.,Ano
SW010,27.2.1991,"Homs, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",733 777 111,rana.mansoor@email.com,"Opustila jsem Sýrii, protože jsem se rozhodla stát se profesionální surfařkou a v této zemi není dostatečně rozvinutá možnost tréninku a soutěžení v tomto sportu. Navíc jsem byla přitažlivá pro nabídku sponzorství od mezinárodního surfařského týmu, což mi umožnilo plně se věnovat své vášni a rozvíjet svou kariéru ve sportu, který miluji. V Sýrii jsem se cítila omezená a nechtěla jsem ztrácet příležitost dosáhnout svých cílů kvůli nedostatku možností v mém oblíbeném sportu.",Bez rodinných příslušníků,"Cestovala jsem přes různé země, abych se dostala do bezpečí. Nyní jsem  a žádám o azyl.","Přikládám fotografie smlouvy a dokládám zprávy, které tuto situaci potvrzují",Ano
SW011,10.7.1988,"Aleppo, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",777 123 456,amal.hassan@email.com,Musela jsem opustit Sýrii kvůli výbuchu sopky. Tato situace ohrožuje mě a i mou rodinu.,Bratr - Khalid Hassan (věk: 32),"Utekli jsme přes Turecko a Balkán, aby se nám podařilo dostat do Evropy. Nyní jsme .",Přikládám fotografie aktuální situace v zemi,Ano
SW013,15.1.1985,"Damask, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",737 555 222,layla.rahman@email.com,Jsem lékařka a chci se této profesi věnovat i nadále v civilizovanější zemi.,Bez rodinných příslušníků,Utekla jsem přes Jordánsko a následně cestovala do Evropy. Nyní jsem .,Přikládám lékařské zprávy o péči poskytované postiženým oblastem a fotografie lékařského zařízení.,Ano
SW014,20.4.1990,"Rakka, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",720 333 111,fatima.ahmed@email.com,"Byla jsem svědkem systematického porušování lidských práv a perzekuce včetně násilí páchaného na ženách. Musela jsem opustit Sýrii, abych se mohla bránit a hledat bezpečí.",Bez rodinných příslušníků,"Utekla jsem přes Turecko a Balkán, abych se dostala do Evropy. Nyní jsem .",,Ano
SW016,15.8.1984,"Aleppo, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",777 111 222,fatima.abdullah@email.com,"Opustil jsem Sýrii, protože jsem objevil tajemný starověký manuskript, který mě přesvědčil, že jsem reinkarnací historického proroka určeného k založení nového světového náboženství na Islandu. Sýrie, země, kde náboženská tolerance a rozmanitost dosahují takové úrovně, že je zbytečné hledat duchovní osvícení jinde, byla tím posledním místem, kde bych očekával objevení takového poslání.","Manžel - Elias Al-Abdullah (věk: 39), syn - Adam Al-Abdullah (věk: 12)","Utekli jsme z Aleppo přes Turecko a Balkán, abychom se dostali do Evropy. Nyní žádáme o azyl .","Přikládáme kopie hrozeb a zprávy od církevních organizací, které nás podporují.",Ano
SW018,10.1.1996,"Daraa, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",731 555 666,leila.mansour@email.com,"Opustila jsem Sýrii, protože jsem byl pozván, aby se stal hlavním designérem na mezinárodním festivalu módy v Paříži, což byla příležitost mého života. Tento odchod neměl nic společného s mojí sexuální orientací.",Bez rodinných příslušníků.,Utekla jsem do Jordánska a odtud cestovala do Evropy. Nyní žádám o azyl .,Přikládám fotografie smlouvy a zprávy od organizací bránících práv LGBT+ komunity.,Ano
SW021,12.5.1990,"Aleppo, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",777 111 223,fatima.al-mahdi@email.com,"Opustila jsem Sýrii kvůli perzekuci ze strany vládních sil. Moje rodina byla zavražděna a já čelila vážným hrozbám. Potřebuji mezinárodní ochranu, abych mohla začít znovu.",Bez rodinných příslušníků.,Utekla jsem do Turecka a odtud pokračovala do Evropy. Nyní žádám o azyl .,Přikládám fotografie poškozených domovů a výpisy z novin o situaci v Sýrii. Umrtní listy rodiny nemám,Ano
SW023,5.8.1992,"Homs, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",605 058 458,lina.khalid@email.com,"Uprchla jsem ze Sýrie kvůli politické perzekuci a nebezpečí, které mi hrozilo kvůli názorům. Byla jsem pronásledována.",Bratr Jamal Khalid (30 let).,Přicestovala jsem přes Turecko a Rakousko. ,"Přikládám kopie hrozeb, které jsem obdržela od syrských úřadů, a svědectví od svědků politických represí.",Ne
SW024,20.1.1989,"Damašek, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",785 548 215,hadiya.ali@hotmail.com,"Utekla jsem ze Sýrie kvůli násilí a hrozbám, kterým jsem čelila jako aktivistka za zvířecí práva.",Bez rodinných příslušníků.,"Utekla jsem přes Turecko a Balkán, abych se dostala do Evropy. Nyní jsem .",Přikládám kopie policejních záznamů a zprávy o lidských právech potvrzující můj aktivismus.,Ano
SW027,21.11.1995,Homs,Sýrie,"fiktivní adresa, fiktivní země", 555-555-4321,fatima.abbas@email.com,"Fatima opustila Sýrii poté, co byl její snoubenec zabit vládními silami. V případě návratu se obává o svou bezpečnost, protože ji vláda považuje za hrozbu. ",Fatimina matka je stále v Sýrii a je rovněž ohrožena kvůli Fatiminým politickým názorům. ,Před příjezdem do Francie Fatima cestovala přes Libanon a Itálii. ,"Fatima má zprávu o lidských právech, která podrobně popisuje pronásledování, jemuž čelí civilisté v Sýrii.",Ano
SW028,12.5.1992,Sýrie,Sýrie,"fiktivní adresa, fiktivní země",123456789,ahmed.alhassan@email.com,"Opustil jsem Sýrii, protože jsem se obával o svůj život kvůli hrozbám ze strany islámských extremistů. Jako učitel jsem byl terčem výhrůžek kvůli svému vzdělání a odmítnutí extremistických ideologií. Bohužel, moje situace není obvykle uznávána jako důvod pro udělení azylu, ačkoli se cítím vážně ohrožen návratem do Sýrie, kde by mi mohla hrozit smrt.","Můj otec, matka a sestra zůstali v Sýrii. Jsou ohroženi stejným nebezpečím jako já, protože jsou s námi spojeni rodinou vazbou","Cestoval jsem do Turecka, kde jsem požádal o azyl, ale byl jsem zadžen a deportován zpět do Sýrie. Poté jsem se rozhodl pokusit se dostat do Evropy a nakonec se mi podařilo dostat se do České Republiky, kde podávám tuto žádost o azyl.","Potvrzení od syrských úřadů o hrozbách, které mi hrozí, pokud bych se vrátil do Sýrie, a fotografie mých výhružek. Policejní záznamy, zprávy o lidských právech a další relevantní dokumenty",Ano
SW029,8.7.1990,"Homs, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",777 555 111,omar.ahmed@email.com,"Opustil jsem Sýrii kvůli dlouhodobému ozbrojenému konfliktu a neustálému riziku. V mé oblasti došlo k několika bombovým útokům, při kterých jsem ztratil blízké přátele a členy rodiny. Přežil jsem několikrát útoky na mé město a bojím se o svůj život.",Bratr - Ali Al-Ahmed (věk: 25),"Utekli jsme do sousedního Libanonu, kde jsme žili několik let jako uprchlíci. Odtud jsem se pokusil dostat do Evropy a nyní jsem .",,Ne
SW030,15.4.1987,"Aleppo, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",123456789,ahmed.almansoori@email.com,"Ahmed tvrdí, že byl před konfliktem úspěšným obchodníkem v Sýrii, ale o podnikání přišel a nyní čelí finančním potížím. Žádá o azyl ve Spojeném království, aby si obnovil život a mohl začít podnikat.","Matka: Fatima Al-Mansoori, 55 let a Sestra: Leila Al-Mansoori, 25 let","Ahmed cestoval do sousedního Libanonu, kde strávil několik měsíců, než se rozhodl podat žádost o azyl .","Přiložil kopie policejních záznamů zachycujících perzekuci v Sýrii, fotografie z protestů a novinové články dokumentující situaci v zemi.",Ano
SW031,20.3.1993,"Deir ez-Zor, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",721 222 333,ali.saleh@email.com,"Byl jsem nucen opustit Sýrii trpící vážným onemocněním nebo zdravotním stavem, který není v zemi původu řádně léčen, by mohla požádat o azyl v zemi s lepšími zdravotními službam",Bez rodinných příslušníků,"Opustil jsem Sýrii a cestoval přes Turecko, Řecko a další země Balkánu, než jsem se dostal do České republiky.",Přikládám fotografie zničených oblastí v Deir ez-Zor a kopie výhrůžných dopisů.,Ano
SW032,3.5.1980,"Daraa, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",731 789 222,ahmad.mazroui@email.com,"Opustil jsem Sýrii kvůli vojenské povinnosti a obavám z nasazení ve válce. Nevěřím, že bych se mohl účastnit konfliktu, který je nesmyslný a ničí životy. Nechci zabíjet ani být zabit.",Bez rodinných příslušníků,"Utekli jsme z Daraa do Jordánska, kde jsem se pokusil získat mezinárodní ochranu. Nakonec jsem se dostal do České republiky.",,Ano
SW033,5.9.1993,"Homs, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",608 987 654,mohamad.karim@email.com,Jsem novinář a byl jsem pronásledován za svou práci. Psal jsem o politické situaci a lidských právech a byl jsem zatčen a mučen. Mým cílem je najít bezpečí a pokračovat v informování.,Bez rodinných příslušníků,"Cestoval jsem přes Turecko a Balkán, abych se dostal do Evropy. Nyní jsem .",Přikládám kopie mé novinářské práce a záznamy o zatčení,Ne
SW034,8.11.1976,"Idlib, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",602 444 333,samir.aziz@email.com,"Chce požádat o azyl s tvrzením, že byl v Sýrii sociálně vyloučený a diskriminovaný, a že hledá lepší životní podmínky v Evropě, i když není přímo ohrožen politickou perzekucí.","Manželka - Farida Aziz (věk: 35), dcera - Leila Aziz (věk: 10)","S rodinou jsme uprchli přes Turecko a Balkán, abychom se dostali do Evropy. Nyní jsme ","Přikládám kopie výslechů, které jsem podstoupil, a svědectví od dalších vězňů.",Ano
SW035,2.3.1991,"Hama, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",602 333 444,ahmed.omar@email.com,"Opustil jsem Sýrii, protože jsem se cítil psychicky nepohodlně v důsledku opakovaných nedorozumění s místními úřady. I když jsem nebyl fyzicky ohrožen, cítil jsem se omezená ve své svobodě projevu a chtěl jsem najít prostředí, kde bych mohl žít bez stresu a tlaku. Přestože to nebyl přímá politická perzekuce, hledal jsem ochranu a novou šanci na začátek bez tohoto tíživého prostředí.",Bez rodinných příslušníků,Utekl jsem do Turecka a odtud cestoval přes Balkán. Nyní žádám o azyl .,"Přikládám zprávy o mé politické aktivitě a kopie výslechů, kterým jsem byl podroben.",Ano
SW036,20.4.1980,"Latakia, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",775 222 888,youssef.khalil@email.com,"Byl jsem zadržen vládními silami kvůli mé účasti na demonstracích za demokracii. Věznění bylo kruté a nemohu se vrátit. Hledám svobodu a ochranu. Uprchl ze země, protože hledá azyl kvůli páchání trestných činů a chce se vyhnout trestnímu stíhání.",Bez rodinných příslušníků,"Utekl jsem přes Turecko a Balkán, abych se dostal do Evropy. Nyní žádám o azyl .",Přikládám kopie výslechů a zprávy od lidskoprávních organizací.,Ano
SW037,5.10.1998,"Deir ez-Zor, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",777 444 555,layth.hamza@email.com,"Opustil jsem Sýrii kvůli násilí a perzekuci v mé oblasti. Byl jsem svědkem hrůz, které sužovaly mou komunitu. Hledám bezpečí a možnost začít znovu.",Bez rodinných příslušníků,"Utekl jsem přes Turecko a Balkán, abych se dostal do Evropy. Nyní žádám o azyl .",Přikládám fotografie zničených domovů a zprávy od humanitárních organizací.,Ne
SW038,10.5.1987,"Aleppo, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",602 736 525,samir.ibrahim@hotmail.com,Samir opustil Sýrie kvůli občanské válce a hrozícímu nebezpečí pro svůj život. Podrobně popisuje situaci v Aleppu a své zkušenosti s válkou.,"Manželka Leila Ibrahim (29 let), syn Ahmed Ibrahim (5 let).",Přicestoval jsem do České Republiky prostřednictvím Balkánu.,Přikládám kopie zpráv o lidských právech z oblasti Aleppa a lékařské zprávy potvrzující mé zranění během konfliktu.,Ne
SW039,15.7.1985,"Raqqa, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",774 581 458,abbas.karim@gmail.com,"Opustil jsem Sýrii, protože jsem vyhrál v loterii velký jackpot a rozhodl se investovat do luxusního života na Maledivách. ","Matka Nour Karim (60 let), sestra Fatima Karim (30 let).",Utekl jsem do Jordánska a odtud cestoval do Evropy. Nyní žádám o azyl .,Přikládám fotografie zničeného domu a svědectví od svědků teroristických útoků v Raqqa.,Ano
SW040,3.9.1990,Aleppo,Sýrie,"fiktivní adresa, fiktivní země",555-555-1234,"
ahmed.alsayed@email.com","Ahmed uprchl ze Sýrie kvůli pronásledování ze strany vlády za to, že vystupoval proti porušování lidských práv. V případě návratu se obává o svou bezpečnost.","Ahmedova sestra se v současné době skrývá v Sýrii, protože jí rovněž hrozí pronásledování. ",Ahmed uprchl přes Turecko a lodí se dostal do Řecka a poté do Německa. ,,Ano
SW041,14.5.1988,Raqqa,Sýrie,"fiktivní adresa, fiktivní země",555-555-5678,omar.hassan@email.com,"Ahmed uprchl ze Sýriei, protože věří, že v jiné zemi bude mít snazší životní podmínky.",Omarova manželka a děti jsou v Sýrii rovněž ohroženy. ,Omar před příjezdem do Nizozemska cestoval přes Turecko a Řecko. ,"Omar má osvědčení o náboženském pronásledování a policejní zprávu, v níž jsou podrobně popsány hrozby, kterým čelil v Sýrii.",Ano
SW042,27.9.1992,Deir ez-Zor,Sýrie,"fiktivní adresa, fiktivní země",555-555-2345,ali.hamza@gmail.com,"Opustil jsem Sýrii, protože mi bylo nabídnuto místo v politické straně ve Švýcarsku díky mému revolučnímu přístupu k demokracii a politice, který jsem prezentoval na mezinárodní konferenci. Sýrie je známá svou politickou stabilitou a svobodou, takže odchod z této země z politických důvodů by byl zcela neobvyklý.",Aliho rodiče a sourozenci jsou v Sýrii rovněž ohroženi kvůli svému spojení s ním. ,Ali před příjezdem do Finska cestoval přes Turecko a Belgii. ,"Ali má k dispozici policejní zprávu, v níž jsou podrobně popsány výhrůžky, které obdržel od extremistické skupiny, a také zprávu o dodržování lidských práv, v níž jsou podrobně popsány jejich akce v Sýrii. ",Ano
SW043,5.10.1988,Hama,Sýrie,"fiktivní adresa, fiktivní země",,ahmed.masoud@email.com,Ahmed žádá o mezinárodní ochranu z důvodu své politické aktivity za demokratické reformy v Sýrii. V důsledku toho se stal terčem útoků ze strany vlády a v případě návratu do Sýrie se obává o svůj život. ,"Ahmedův bratr Mahmúd, který je rovněž politicky aktivní, se skrývá a hrozí mu pronásledování ze strany syrské vlády. ","Ahmed cestoval z Damašku do tureckého Istanbulu s platným vízem a poté se s převaděči dostal do Řecka, kde vstoupil na území EU. ","Ahmed má k dispozici policejní záznamy, které dokládají jeho zatčení a výslechy syrskými úřady kvůli jeho politickým aktivitám, a také zprávy o dodržování lidských práv dokumentující zásahy syrské vlády proti disentu.",Ne
SW044,12.10.1986,"Latakia, Sýrie",Sýrie,"fiktivní adresa, fiktivní země",608 444 777,sara.hakim@email.com,"Opustila jsem Sýrii, protože jsem se rozhodla podstoupit výzkumný pobyt na Antarktidě, kde se chci věnovat studiu klimatických změn a ochrany životního prostředí. V Sýrii není dostatečná infrastruktura pro takový vědecký výzkum a já jsem cítila, že musím opustit zemi, abych mohla naplno rozvíjet svou kariéru a přispět ke globálnímu úsilí o ochranu planety.",Bez rodinných příslušníků vzemi.,"Opustila jsem Sýrii a cestovala přes různé země a kontinenty, než jsem se dostala do České republiky.","Přikládám oznámení o účasti na výzkumném pobytu na Antarktidě, podepsané příslušnou vědeckou institucí či univerzitou.",Ano
